"name","score","genre","thumbnail","userscore","summary","platform","publisher","developer","rating","rlsdate","url"
"Crypt of the NecroDancer","87","Action","http://static.metacritic.com/images/products/games/3/10c349cf8c902b8e427272ccb521cadc-98.jpg","7.6","A hardcore rhythm-based roguelike game. Can you survive this deadly dungeon of dance, slay the NecroDancer, and recapture your still beating heart? Or will you be a slave to the rhythm for all eternity? Players must move on the beat to navigate procedurally generated dungeons while battling dancing skeletons, zombies, dragons, and more! Groove with the game's epic dance soundtrack, or select songs from your own MP3 collection! You can even play with a dance pad to really shake your bones!","PC","Brace Yourself Games","Brace Yourself Games","","2015-04-23","http://www.metacritic.com/game/pc/crypt-of-the-necrodancer"
"Dark Souls II","91","Role-Playing","http://static.metacritic.com/images/products/games/4/5f29e4dfbcfa13f920b51289ffb5e4b4-98.jpg","7.1","Dark Souls II brings the franchise’s renowned difficulty & gripping gameplay innovations to both single and multiplayer experiences.","PC","Bandai Namco Games","From Software","T","2014-04-25","http://www.metacritic.com/game/pc/dark-souls-ii"
"Dark Souls II: Scholar of the First Sin","80","Role-Playing","http://static.metacritic.com/images/products/games/2/13e6ceb02fcad2a267d33e99c6e6a3f2-98.jpg","7.5","Dark Souls II: Scholar of the First Sin includes the 3 previously released DLC packs - Crown of the Sunken King, Crown of the Old Iron King, and Crown of the ivory King - along with additional features. All versions of the game include the following features (Existing Dark Souls II owners will receive a patch to implement these elements): Additional NPCs added for an enhanced story experience. Parameter adjustments for improved game balance. Augmented item descriptions. Improved online matchmaking functionality. [Bandai Namco]","PC","Bandai Namco Games","From Software","T","2015-04-01","http://www.metacritic.com/game/pc/dark-souls-ii-scholar-of-the-first-sin"
"Dark Souls: Prepare to Die Edition","85","Role-Playing","http://static.metacritic.com/images/products/games/4/a5dff6cb0dafd1638d3ab646217a5d1a-98.jpg","7.4","With tense dungeon crawling and fearsome enemy encounters, the seamlessly intertwined world of Dark Souls is full of extreme battles, rewarding challenges, nuanced weaponry and magic, and the flexibility to customize each character to suit any desired play style. The innovative online component allows gamers to draw from the collective experience of the Dark Souls community as they either help or sabotage each other on the journey through the world of Lordran to save the land from darkness. With a massive, seamless open world design, Dark Souls encourages deep exploration and an adaptable gameplay experience.","PC","Namco Bandai Games","From Software","M","2012-08-24","http://www.metacritic.com/game/pc/dark-souls-prepare-to-die-edition"
"Darkest Dungeon",NA,"Role-Playing","http://static.metacritic.com/images/products/games/5/1efa58fc4ace22804ce6119f3f2e3506-98.jpg",NA,"Darkest Dungeon is a gothic roguelike RPG dungeon crawler about the psychological stresses of adventuring. You will lead a band of four heroes on a perilous side-scrolling descent, dealing with a prodigious number of threats to their bodily health, and worse, a relentless assault on their mental fortitude! Five hundred feet below the earth you will not only fight unimaginable foes, but famine, disease, and the stress of the ever-encroaching dark. Darkest Dungeon focuses on the humanity and psychological vulnerability of the heroes and asks: What emotional toll does a life of adventure take?","PC","Red Hook Studios","Red Hook Studios","","1970-01-01","http://www.metacritic.com/game/pc/darkest-dungeon"
"Darksiders","83","Action Adventure","http://static.metacritic.com/images/products/games/2/2f12183dbb957949152d6199c12d1de7-98.jpg","7.8","The time for the great Apocalypse of legend has come in Darksiders as you take on the role of War, one of the four Horsemen of the Apocalypse, and rain judgment and destruction down upon the Earth. However, not all is as it seems when you discover that you and your fellow Horsemen have been implicated for the premature destruction of Earth and are swept up in a conspiracy between the forces of Heaven and Hell. Banished and stripped of your powers, embark on an epic quest of revenge and redemption as you battle angels and demons to restore your awesome abilities and seek out who betrayed you.","PC","THQ","Vigil Games","M","2010-09-23","http://www.metacritic.com/game/pc/darksiders"
"Darksiders II","81","Action Adventure","http://static.metacritic.com/images/products/games/5/bbec241b6a84bd580def5b8e15c1a2ab-98.jpg","7.9","Darksiders II follows the exploits of DEATH, one of the four horsemen of the Apocalypse, in a weaving tale that runs parallel to the events in the original Darksiders game. This epic journey propels DEATH through various light and dark realms as he tries to redeem his brother WAR, the horseman who was blamed for prematurely starting the Apocalypse in Darksiders.","PC","THQ","Vigil Games","M","2012-08-14","http://www.metacritic.com/game/pc/darksiders-ii"
"DayZ",NA,"Action","http://static.metacritic.com/images/products/games/5/dc9f72956b452e6411c555558fa055ac-98.jpg",NA,"(Currently in Early Access Alpha. Reviews and user voting will commence with the game's regular release.) Welcome to the world of DayZ, hit by a new and presently unknown infection which has wiped out most of the world's population. You are one of the few that have survived and now you must search this new wasteland in order to fight for your life against what is left of the indigenous population now infected with the disease. Go solo, team up with friends or take on the world, as you choose your path in this brutal and chilling landscape using whatever means you stumble upon to survive.","PC","Bohemia Interactive","Dean 'Rocket' Hall","","1970-01-01","http://www.metacritic.com/game/pc/dayz"
"Dead Island","80","Action Adventure","http://static.metacritic.com/images/products/games/2/95441509886a7bf9767ec09d15518adb-98.jpg","6.8","A couple flying to the vacation of their dreams is torn apart by a violent plane crash. Take on a harrowing quest to find your lost wife. Enter into the dark world of a devastated tropical paradise now plunged into chaos. It's a place where the word ""dead"" has an entirely new meaning. Face the nightmare and fight for survival. Explore the secrets hidden in the darkest regions of the island and fight your way through. Survival is your main goal! Dead Island is a non-linear FPP (First Person Perspective) survival horror title. The ultra-realistic combat system will ensure that every confrontation is a thrilling experience. Use anything you find in your surroundings as a weapon. Make decisions that influence the entire world around you. Take advantage of opponent behavior and game physics. Dead Island is a mix of intense action and chilling horror environments in an engaging, strikingly realistic story. [Techland]","PC","Deep Silver","Techland","M","2011-09-06","http://www.metacritic.com/game/pc/dead-island"
"Dead Island: Riptide","61","Action","http://static.metacritic.com/images/products/games/9/c6f4bdbdeb7fc870ca12aef643bdceae-98.jpg","5.9","They assumed they had escaped the terrors of Banoi and survived the apocalypse on a corrupted paradise. However, their fate took a turn for the worse. The Dead Island heroes escaped in a helicopter to the friendly confines of a military ship, but when an unpredictable storm hits and the virus suddenly spreads throughout the crew, the nightmare starts all over again, leaving hope drowning in the rising tides.","PC","Deep Silver","Techland","M","2013-04-23","http://www.metacritic.com/game/pc/dead-island-riptide"
"Dead or Alive 5: Last Round","69","Action","http://static.metacritic.com/images/products/games/9/14462c53bdcc68cd0e1677e7194a5a66-98.jpg","4.6","2 new playable characters join the fray to make 34 fighters. Master the signature DOA fighting system through the textured story and tutorial modes, unlock more costumes than ever before in each of the offline training modes, and compete with the best fighters in the world in the online training modes. Fight as ninjas, assassins, roughnecks & wrestlers as you knock your opponents off an exotic waterfall, into an exploding oil rig and more.","PC","Koei Tecmo Games","Team Ninja","M","2015-03-30","http://www.metacritic.com/game/pc/dead-or-alive-5-last-round"
"Depth","65","Action","http://static.metacritic.com/images/products/games/7/78dd80260be516dbf35bc6e16627cf6d-98.jpg","7.8","Depth is an indie game being developed with unreal engine 3 by several of the original minds behind 'Killing Floor'. Play as a shark or a diver in a dark aquatic world and overcome your enemies by employing cunning, teamwork, and stealth.","PC","Digital Confectioners","Digital Confectioners","","2014-11-03","http://www.metacritic.com/game/pc/depth"
"Deus Ex: Human Revolution - Director's Cut","91","Action Adventure","http://static.metacritic.com/images/products/games/2/a5364716867cfb52fb1d82ce01584b5f-98.jpg","8.4","In Deus Ex: Human Revolution you play Adam Jensen, a security specialist, handpicked to oversee the defense of one of America's most experimental biotechnology firms. But when a black ops team breaks in and kills the scientists you were hired to protect, everything you thought you knew about your job changes. At a time when scientific advancements are routinely turning athletes, soldiers and spies into super-enhanced beings, someone is working very hard to ensure mankind's evolution follows a particular path. You need to discover why - because the decisions you take and the choices you make will be the only things that can determine mankind's future.","PC","Square Enix","Eidos Montreal","M","2013-10-22","http://www.metacritic.com/game/pc/deus-ex-human-revolution---directors-cut"
"Devil May Cry 4: Special Edition","72","Action Adventure","http://static.metacritic.com/images/products/games/7/a7d576598e0c9fb1a45e006175681e28-98.jpg","8.6","Devil May Cry 4 throws you into a gothic supernatural world, where a new protagonist clashes with a familiar hero. As the new leading man, Nero, you unleash incredible attacks and non-stop combos using a new gameplay mechanic, his powerful ""Devil Bringer"" arm. On the coast of a distant land you'll find the castle town of Fortuna. It is here that the group known as the Order of the Sword practices an elusive religion. They revere the demon warrior Sparda, who as their god fought to protect humans, and are committed to the extermination of all demons. Nero, a young knight from the Order, is tasked with finding Dante, the mysterious assassin who murdered the head of the Order of the Sword. Simultaneously, more demons begin to surface throughout the city. Nero soon comes to discover the motives behind Dante's appearance and the truth behind the intentions of the Order of the Sword.","PC","Capcom","Capcom","M","2015-06-23","http://www.metacritic.com/game/pc/devil-may-cry-4-special-edition"
"Digger Online","","Action Adventure","http://static.metacritic.com/images/products/games/8/a46d6027480ee35e762a6e5661450be8-98.jpg","3.9","","PC","DiggerWorld Ltd.","DiggerWorld Ltd.","","2015-06-02","http://www.metacritic.com/game/pc/digger-online"
"Dino D-Day","53","Action","http://static.metacritic.com/images/products/games/1/070005f4c3b56a98869188babc2f4a7a-98.jpg","6.3","The year is 1942. Adolf Hitler has succeeded in resurrecting dinosaurs. The reptilian horde has trampled Europe and the Mediterranean. Can nothing stop the Nazis dinosaur army?
Dino D-Day is a frantic, action-packed multiplayer game that transports you to a World War II that should have been. You and your friends can battle online choosing to serve the cause of the Allied nations or the Nazis. The Allied side includes six playable characters each with unique weapons and abilities to use in combat. Gun down a Dilophosaur with your trusty M1 Garand, blast a kamikaze pterosaur out of the sky with your Thompson sub-machine gun, or toss out a dead jackrabbit to lure a raptor into a trap.
As an Axis player you will have your choice of three human classes and three dinosaur classes. Ambush your enemy with speed and stealth as the Raptor, mercilessly pound the enemy with a heavy 20mm gun as the Desmatosuchus, rampage through enemy groups as the Dilophosaur or pick up a body and throw it at an enemy for a double kill! Or if you prefer a rifle in your hand, the German soldier classes are the perfect complement to their dinosaur comrades.
Youve played World War II games beforebut have you played a World War II game with dinosaurs?","PC","800 North and Digital Ranch","800 North and Digital Ranch","","2011-04-08","http://www.metacritic.com/game/pc/dino-d-day"
"DiRT Rally",NA,"Racing","http://static.metacritic.com/images/products/games/5/c550cfdbaa41165dc6ef47181942bc9f-98.jpg",NA,"DiRT Rally captures the essence of what makes rally unique – that sense of trying to remain in control of your emotions, as you hurtle along at breakneck speed, aiming to squeeze everything out of your car whilst knowing that one crash could irreparably harm your stage time.","PC","Codemasters","Codemasters","","1970-01-01","http://www.metacritic.com/game/pc/dirt-rally"
"Dirty Bomb","63","Action","http://static.metacritic.com/images/products/games/1/ba054afd464537b23a9bf3330178fb40-98.jpg","7.5","In the not-too-distant future, London has been abandoned, a shell of its former self. After a mysterious disaster, the international Crisis and Disaster Agency stepped in to clean up the mess and decontaminate the city. They failed... badly. Now the streets of London are the playground of Private Military Companies (PMCs) who battle to control what remains of the city’s riches.","PC","Nexon America Inc.","Splash Damage","","2015-06-01","http://www.metacritic.com/game/pc/dirty-bomb"
"Dishonored","91","Action Adventure","http://static.metacritic.com/images/products/games/2/5579c6cdb4efaaab0dc07abaa4bf6644-98.jpg","8.3","Approach each assassination with your own unique style. Use shadow and sound to your advantage to traverse silently through levels unseen by enemies, or attack foes head-on as they react to your aggression. The malleable combat system allows you to creatively synthesize your abilities, supernatural powers and gadgets as you negotiate your way through the levels and dispatch your targets. Improvise and adapt to define your modus operandi.","PC","Bethesda Softworks","Arkane Studios","M","2012-10-09","http://www.metacritic.com/game/pc/dishonored"
"Divinity: Original Sin","87","Role-Playing","http://static.metacritic.com/images/products/games/6/6325c8a05f318023bd958fdfc0193a96-98.jpg","8.7","Gather your party and get ready for a new, back-to-the-roots RPG adventure. Discuss your decisions with companions; fight foes in turn-based combat; explore an open world and interact with everything and everyone you see. Join up with a friend to play online in co-op and make your own adventures with the powerful RPG toolkit.","PC","Larian Studios","Larian Studios","M","2014-01-17","http://www.metacritic.com/game/pc/divinity-original-sin"
"Divinity: Original Sin Enhanced Edition",NA,"Role-Playing","http://static.metacritic.com/images/products/games/3/29f1c8d452cc5e6cf002e82009234d80-98.jpg","8","Divinity Original Sin: Enhanced Edition is a much lauded Role-Playing-Game that blends deep customization and humor with dynamic turn based combat. Either in online co-op, split-screen co-op on your TV, or even alone, take advantage of a classless RPG system to create your heroes and conquer the evils of Rivellon!
Embark upon a journey with up to three companions as you bend the very fabric of time, where what seems like the case of a simple murder unravels into hours of quests facing fiendish foes, magical polymorphs, and dastardly bosses. As a Source Hunter, master the elements and use the environment to your advantage in dynamic combats mixing weather and magic to explode, poison, electrify, freeze and burn your enemies!","PC","Larian Studios
                                                            
                                                    

                                                            
                                                        Focus Home Interactive","Larian Studios","M","2015-10-27","http://www.metacritic.com/game/pc/divinity-original-sin-enhanced-edition"
"Don't Starve","79","Action Adventure","http://static.metacritic.com/images/products/games/7/472900ba4a2cffe87a437cc32563fceb-98.jpg","8.3","Assume the role of Wilson, an intrepid Gentleman Scientist who has been trapped by a demon and transported to a mysterious wilderness world. Wilson must learn to utilize his environment and its inhabitants if he ever hopes to escape and find his way back home. Enter a strange and unexplored world full of strange creatures, dangers, and surprises. Collect resources to craft items and structures that match your survival style. Play your way as you unravel the mysteries of this strange land.","PC","Klei Entertainment","Klei Entertainment","","2013-04-23","http://www.metacritic.com/game/pc/dont-starve"
"Dota 2","90","Other Strategy Games","http://static.metacritic.com/images/products/games/6/92bef60071a30ee17c213a4c6fb94e2b-98.jpg","6.3","Dota 2 features the characters and factions from the original Defense of the Ancients title with new features.","PC","Valve Software","Valve Software","","2013-07-09","http://www.metacritic.com/game/pc/dota-2"
"Dragon Age: Origins - Ultimate Edition","","Miscellaneous","http://static.metacritic.com/images/products/games/4/7b6fd6670bed64335b6c8f8c628ceee3-98.jpg","8.5","Dragon Age Origins:You are a Grey Warden, one of the last of this legendary order of guardians. With the return of mankind's ancient foe and the kingdom engulfed in civil war, you have been chosen by fate to unite the shattered lands and slay the archdemon once and for all. Explore a stunning world, make complex moral choices, and engage in bone-crushing combat against massive and terrifying creatures.","PC","Electronic Arts","BioWare","M","2010-10-25","http://www.metacritic.com/game/pc/dragon-age-origins---ultimate-edition"
"Dragon Ball: Xenoverse","","Action","http://static.metacritic.com/images/products/games/0/812be8fffdf4fcc2b77f382a0a40da81-98.jpg","7.4","DRAGON BALL XENOVERSE brings all the frenzied battles between Goku and his fiercest rivals, such as Vegeta, Frieza, Cell and many more, with new gameplay design. Players revisit all famous battles from the series through their own custom-created Avatars, which are connected to Trunks and many other characters. With the help of Trunks, travel through time and intervene with the past to restore Dragon Ball history. DRAGON BALL XENOVERSE take the universe from series' creator Akira Toriyama by storm and breaks tradition with a new world setup, the mysterious Toki Toki City.","PC","Bandai Namco Games","Dimps Corporation","T","2015-02-27","http://www.metacritic.com/game/pc/dragon-ball-xenoverse"
"Dungeon Defenders II",NA,"Strategy","http://static.metacritic.com/images/products/games/9/a91a7b237072a5193b776d1965566a64-98.jpg",NA,"Dungeon Defenders II is the sequel to our popular tower-defense role-playing game, Dungeon Defenders. Unlike it's predecessor, Dungeon Defenders II features a cooperative and competitive mode. Heroes, cosmetic items, pets, and more will transfer across both modes.
 
The cooperative mode is the true sequel to Dungeon Defenders. Expect more heroes, more towers and even more loot. New features like an expanded story and a 24-player overworld are also in the works.
 
The competitive mode is a Multiplayer Online Battle Arena set in the Dungeon Defenders universe. Together, 5 players will take up arms to defend their towers against the opposing team. This fast-paced, streamlined MOBA aims for a shorter learning curve and more rpg-esque take on the genre.","PC","Trendy Entertainment","Trendy Entertainment","","1970-01-01","http://www.metacritic.com/game/pc/dungeon-defenders-ii"
"Dungeon of the Endless","79","Strategy","http://static.metacritic.com/images/products/games/8/00a40ef4bc30e2fa7d98466bde3a8d58-98.jpg","7.9","Dungeon of the Endless is a Rogue-Like Dungeon-Defense game, in which the player and their team of heroes must protect the generator of their crashed ship while exploring an ever-expanding dungeon, all while facing waves of monsters and special events as they try to find their way out... so what could go wrong... open the door!","PC","Amplitude Studios","Amplitude Studios","","2014-10-27","http://www.metacritic.com/game/pc/dungeon-of-the-endless"
"Dungeons 2","70","Strategy","http://static.metacritic.com/images/products/games/8/57c1a52b5f24f54f19c02204dd47033a-98.jpg","7.3","In Dungeons 2, fulfill the Dungeon Lord’s voracious quest for vengeance by recruiting fearsome new monsters from all corners of the underworld in order to undertake his evil bidding.","PC","Kalypso","Kalypso","T","2015-04-24","http://www.metacritic.com/game/pc/dungeons-2"
"Dying Light","75","Action Adventure","http://static.metacritic.com/images/products/games/7/6091d74cc5e4c4a541a3523be4126c74-98.jpg","7.8","Dying Light allows you traverse an open world mired into chaos and destruction. In this environment, you scrap for survival against an array of enemies as the infected are not the only threat: accosting other desperate human beings is typically the only way to get precious supplies.","PC","Warner Bros. Interactive Entertainment","Techland","M","2015-01-27","http://www.metacritic.com/game/pc/dying-light"
"Echo Of Soul","","Role-Playing","http://static.metacritic.com/images/products/games/4/098694e0366bbea5f1caf9bc947462a1-98.jpg","6.4","Harvest the souls of your fallen enemies to become ever more powerful. Featuring 1,600+ quests, 60 party and solo dungeons, highly competitive PvP modes and advanced character customization, Echo of Soul gives you the power to tailor your experience and play exactly how you want, when you want.","PC","Aeria Games & Entertainment","Aeria Games & Entertainment","","2015-06-22","http://www.metacritic.com/game/pc/echo-of-soul"
"Elite: Dangerous","80","Sci-Fi","http://static.metacritic.com/images/products/games/8/232ef0aee9fb590a7b0a1e3c3ee969d0-98.jpg","6.4","The next game in the Elite series - a space epic with fully multi-player. Carve your own path through a rich gaming sandbox, set against a backdrop of raw anarchy, galactic powerplays and intrigue. Do whatever it takes to upgrade your ship’s hull, engines, weapons, defences, cargo hold; constantly improve your capabilities and influence on your journey towards the most coveted rank in the history of gaming - ‘Elite’.","PC","Frontier Developments","Frontier Developments","T","2014-12-16","http://www.metacritic.com/game/pc/elite-dangerous"
"Elsword",NA,"Role-Playing","http://static.metacritic.com/images/products/games/9/b2ac0ab77b310526566ab8c0a3dc048e-98.jpg","7.2","In Elsword, players tackle a myriad of adventures based on a number of exciting storylines as one of three customizable characters. They take in the comic book style animation and explore the immersive worlds and dungeons, all while participating in either party based dungeons or extensive player-versus-player (PvP) battles that pair fighters against each other.","PC","Kill3rCombo","KoG","","2011-05-04","http://www.metacritic.com/game/pc/elsword"
"Empire: Total War","90","Strategy","http://static.metacritic.com/images/products/games/4/a64e984acd2bb92f4ea95747fba08bd3-98.jpg","6.9","Empire: Total War is set in the 18th century, a turbulent era that is the most requested by Total War’s loyal fan base and a period alive with global conflict, revolutionary fervour and technological advances. The game features themes such as the Industrial Revolution, America's struggle for independence, the race to control Eastern trade routes and the globalisation of war on land and sea. Empire: Total War sees the debut of 3D naval combat within the Total War franchise. PC Gamers intuitively command vast fleets or single ships upon seascapes rich with extraordinary water and weather effects that play a huge role in your eventual glorious success or ignominious defeat. After pummelling your enemy with cannon fire, close in to grapple their ship and prepare to board taking control your men as they fight hand to hand on the decks. Empire: Total War also sees further enhancements to the Total War series signature 3D battles and turn based campaign map. Real time battles pose new challenges with the addition of cannon and musket, challenging players to master new formations and tactics as a result of the increasing role of gunpowder within warfare. And the Campaign Map – for many the heart of Total War – will see new improved systems for Trade, Diplomacy and Espionage with agents, a refined and streamlined UI, improved Advisors and extended scope taking in the riches of India, the turbulence of Europe and the untapped potential of North America. [Sega]","PC","Sega","Creative Assembly","T","2009-03-03","http://www.metacritic.com/game/pc/empire-total-war"
"Empyrion - Galactic Survival","","Action Adventure","http://static.metacritic.com/images/products/games/0/ff8234012265169a9ae9a801731af23d-98.jpg","","Empyrion - Galactic Survival is a 3D open world, space survival adventure in which you can fly across space and land on planets. Build, explore, fight and survive in a hostile galaxy full of hidden dangers.","PC","Eleon Game Studios","Eleon Game Studios","","1970-01-01","http://www.metacritic.com/game/pc/empyrion---galactic-survival"
"Endless Legend","82","Strategy","http://static.metacritic.com/images/products/games/2/ed0a3544437e2254d22b564af512a8d8-98.jpg","7.9","Endless Legend is a 4X turn-based fantasy strategy game by the creators of Endless Space and Dungeon of the Endless. Create your own Legend.","PC","Iceberg Interactive
                                                            
                                                    

                                                            
                                                        Amplitude Studios","Amplitude Studios","","2014-09-18","http://www.metacritic.com/game/pc/endless-legend"
"Endless Sky",NA,"Action","http://static.metacritic.com/images/products/games/6/85231c32ae9e74a08791e3f0f21c4c29-98.jpg",NA,"","PC","Michael Zahniser","Michael Zahniser","","2015-10-30","http://www.metacritic.com/game/pc/endless-sky"
"Endless Space","77","Strategy","http://static.metacritic.com/images/products/games/8/523315c755fe814d17ad323ad935819d-98.jpg","7.4","This galaxy is ancient, and its first intelligent life was the civilization we call the Endless. Long before our eyes gazed upon the stars they flew between them, though all that remains of this people is what we call Dust. A substance found scattered or in forgotten temples, it once gave powers to admirals and galactic governors.","PC","Amplitude Studios","Amplitude Studios","T","2012-07-04","http://www.metacritic.com/game/pc/endless-space"
"Euro Truck Simulator 2","79","Simulation","http://static.metacritic.com/images/products/games/7/9b11a4aeeb85966987a0e0c3183d6a66-98.jpg","8.7","Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore from the UK, Belgium, Germany, Italy, the Netherlands, Poland, and many more, your endurance, skill and speed will all be pushed to their limits. If you've got what it takes to be part of an elite trucking force, get behind the wheel and prove it!","PC","SCS Software","SCS Software","","2013-01-16","http://www.metacritic.com/game/pc/euro-truck-simulator-2"
"Europa Universalis IV","87","Strategy","http://static.metacritic.com/images/products/games/7/0b929fd95316ac2e21680212c68e156d-98.jpg","8.7","Europa Universalis IV explores the world history in an experience crafted by Paradox Development Studio, the masters of Grand Strategy. The experiences of true exploration, trade, warfare and diplomacy will be brought to life in this epic title rife with rich strategic and tactical depth.","PC","Paradox Interactive","Paradox Development Studio","T","2013-08-13","http://www.metacritic.com/game/pc/europa-universalis-iv"
"EVE Online","69","Role-Playing","http://static.metacritic.com/images/products/games/2/c971bd41766fefcb4ce2b9ab4b559f70-98.jpg","7.6","The spectacular space combat, commerce, and exploration game, whose breathtaking graphics, special effects, and intricate gameplay provide an experience unlike any other. Played on the Internet, this massively multiplayer online persistent world game takes place in a universe teeming with life every hour of every day. Take on the role of a spaceship captain cruising around the universe, trading, fighting and communicating with other players and create a life beyond imagination.","PC","Simon & Schuster","CCP","T","2003-05-06","http://www.metacritic.com/game/pc/eve-online"
"Evolve","77","Action","http://static.metacritic.com/images/products/games/6/fcddf699f6c39f2fee4ce71c7bb6010f-98.jpg","4.3","In a savage world of man vs nature, are you the hunter or the hunted? The creators of Left 4 Dead, Turtle Rock Studios, bring you EVOLVE, the next-generation of multiplayer shooters where four hunters face-off against a single, player-controlled monster. Stalk your prey, execute your attack and prove you are the apex predator in adrenaline-pumping 4V1 matches.","PC","2K Games","Turtle Rock Studios","M","2015-02-10","http://www.metacritic.com/game/pc/evolve"
"F1 2015","60","Racing","http://static.metacritic.com/images/products/games/2/2047dd4277cea3bb3ed7ebc8072c45f1-98.jpg","4","Honda returns and once more forges an alliance with McLaren, which also welcomes back Fernando Alonso. Sebastien Vettel moves to Ferrari and, alongside a new generation of exciting young drivers on the grid, will attempt to halt the winning start Mercedes have made in the new era of FORMULA 1. The race calendar for 2015 also features a new circuit, with a return to Mexico for the first time in over 20 years.","PC","Codemasters","Codemasters","E","2015-07-10","http://www.metacritic.com/game/pc/f1-2015"
"Fairy Fencer F","66","Role-Playing","http://static.metacritic.com/images/products/games/9/af3931cb71bb29bdf761d43677ec8379-98.jpg","7.8","","PC","Idea Factory","Idea Factory","T","2015-08-04","http://www.metacritic.com/game/pc/fairy-fencer-f"
"Fallout 3","91","Role-Playing","http://static.metacritic.com/images/products/games/3/238d54d1a52ed5516801b82897e4f79b-98.jpg","8","[Metacritic's 2008 PC Game of the Year] Vault-Tec engineers have worked around the clock on an interactive reproduction of Wasteland life for you to enjoy from the comfort of your own vault. Included is an expansive world, unique combat, shockingly realistic visuals, tons of player choice, and an incredible cast of dynamic characters. Every minute is a fight for survival against the terrors of the outside world – radiation, Super Mutants, and hostile mutated creatures. From Vault-Tec, America's First Choice in Post Nuclear Simulation. Vault 101 - Jewel of the Wastes. For 200 years, Vault 101 has faithfully served the surviving residents of Washington DC and its environs, now known as the Capital Wasteland. Though the global atomic war of 2077 left the US all but destroyed, the residents of Vault 101 enjoy a life free from the constant stress of the outside world. Giant Insects, Raiders, Slavers, and yes, even Super Mutants are all no match for superior Vault-Tec engineering. Yet one fateful morning, you awake to find that your father has defied the Overseer and left the comfort and security afforded by Vault 101 for reasons unknown. Leaving the only home you've ever known, you emerge from the Vault into the harsh Wasteland sun to search for your father, and the truth. [Bethesda Softworks]","PC","Bethesda Softworks","Bethesda Game Studios","M","2008-10-28","http://www.metacritic.com/game/pc/fallout-3"
"Fallout 3","91","Role-Playing","http://static.metacritic.com/images/products/games/3/238d54d1a52ed5516801b82897e4f79b-98.jpg","8","[Metacritic's 2008 PC Game of the Year] Vault-Tec engineers have worked around the clock on an interactive reproduction of Wasteland life for you to enjoy from the comfort of your own vault. Included is an expansive world, unique combat, shockingly realistic visuals, tons of player choice, and an incredible cast of dynamic characters. Every minute is a fight for survival against the terrors of the outside world – radiation, Super Mutants, and hostile mutated creatures. From Vault-Tec, America's First Choice in Post Nuclear Simulation. Vault 101 - Jewel of the Wastes. For 200 years, Vault 101 has faithfully served the surviving residents of Washington DC and its environs, now known as the Capital Wasteland. Though the global atomic war of 2077 left the US all but destroyed, the residents of Vault 101 enjoy a life free from the constant stress of the outside world. Giant Insects, Raiders, Slavers, and yes, even Super Mutants are all no match for superior Vault-Tec engineering. Yet one fateful morning, you awake to find that your father has defied the Overseer and left the comfort and security afforded by Vault 101 for reasons unknown. Leaving the only home you've ever known, you emerge from the Vault into the harsh Wasteland sun to search for your father, and the truth. [Bethesda Softworks]","PC","Bethesda Softworks","Bethesda Game Studios","M","2008-10-28","http://www.metacritic.com/game/pc/fallout-3"
"Fallout 4","84","General","http://static.metacritic.com/images/products/games/6/499c55b11335a42386dc33fcaefd0ea7-98.jpg","5.4","As the sole survivor of Vault 111, you enter a world destroyed by nuclear war. Every second is a fight for survival, and every choice is yours. Only you can rebuild and determine the fate of the Wasteland. Welcome home.","PC","Bethesda Softworks","Bethesda Game Studios","M","2015-11-10","http://www.metacritic.com/game/pc/fallout-4"
"Fallout: New Vegas","84","Role-Playing","http://static.metacritic.com/images/products/games/0/529b1f0d432ab4fdefe5d99cfe3583d9-98.jpg","8.5","The latest game in the post-nuclear RPG series is being developed by many members of the Fallout 1 and 2 team at Obsidian Entertainment using the Fallout 3 engine.","PC","Bethesda Softworks","Obsidian Entertainment","M","2010-10-19","http://www.metacritic.com/game/pc/fallout-new-vegas"
"Far Cry 3","88","Action","http://static.metacritic.com/images/products/games/8/5d85507c8f39f0d8cb95d0f3d5a3fa60-98.jpg","8.2","With Far Cry 3, players step into the shoes of Jason Brody, a man alone at the edge of the world, stranded on a mysterious tropical island. In this savage paradise where lawlessness and violence are the only sure thing, players dictate how the story unfolds, from the battles they choose to fight to the allies or enemies they make along the way. As Jason Brody, players will slash, sneak, detonate and shoot their way across the island in a world that has lost all sense of right and wrong.","PC","Ubisoft","Ubisoft Montreal","M","2012-12-04","http://www.metacritic.com/game/pc/far-cry-3"
